10.874  10.983	30	ARE
10.983	11.181	496	YOUR
11.181	11.382	192	GRADES
11.382	11.912	206	HIGHER
11.912	12.016	302	OR
12.016	12.421	251	LOWER
12.421	12.607	432	THAN
12.607	13.28	275	NANCY'S
13.28	18.649	99999	sp
18.649	18.899	375	SHE
18.899	19.079	490	WORE
19.079	19.568	471	WARM
19.568	20.368	158	FLEECY
20.368	20.886	489	WOOLEN
20.886	21.634	311	OVERALLS
21.634	30.442	99999	sp
30.442	30.771	354	READING
30.771	30.972	217	IN
30.972	31.271	335	POOR
31.271	31.587	240	LIGHT
31.587	31.79	181	GIVES
31.79	31.928	495	YOU
31.928	32.718	150	EYESTRAIN
32.718	41.371	99999	sp
41.371	41.666	142	EVEN
41.666	41.986	211	I
41.986	42.647	293	OCCASIONALLY
42.647	42.791	177	GET
42.791	42.864	434	THE
42.864	43.376	265	MONDAY
43.376	43.908	56	BLUES
43.908	52.589	99999	sp
52.589	52.701	476	WE
52.701	52.848	30	ARE
52.848	53.3	301	OPEN
53.3	53.649	145	EVERY
53.649	54.018	265	MONDAY
54.018	54.627	143	EVENING
54.627	62.902	99999	sp
62.902	63.108	226	IT'S
63.108	63.307	285	NOT
63.307	63.666	133	EASY
63.666	63.79	446	TO
63.79	64.078	113	CREATE
64.078	64.864	215	ILLUMINATING
64.864	65.726	146	EXAMPLES
65.726	74.905	99999	sp
74.905	75.23	270	MUM
75.23	75.869	407	STRONGLY
75.869	76.512	126	DISLIKES
76.512	77.457	27	APPETIZERS
77.457	86.327	99999	sp
86.327	86.534	443	THOSE
86.534	86.685	484	WHO
86.685	87.026	427	TEACH
87.026	87.602	462	VALUES
87.602	87.941	156	FIRST
87.941	88.68	4	ABOLISH
88.68	89.138	87	CHEATING
89.138	98.67	99999	sp
98.67	98.787	434	THE
98.787	99.167	165	FRIGHTENED
99.167	99.566	89	CHILD
99.566	99.815	472	WAS
99.815	100.183	176	GENTLY
100.183	100.782	410	SUBDUED
100.782	100.933	73	BY
100.933	101.172	208	HIS
101.172	101.434	52	BIG
101.434	101.85	66	BROTHER
101.85	111.239	99999	sp
111.239	111.528	142	EVEN
111.528	111.578	1	A
111.578	112.026	383	SIMPLE
112.026	112.982	468	VOCABULARY
112.982	113.483	104	CONTAINS
113.483	114.18	422	SYMBOLS
114.18	123.538	99999	sp
123.538	123.681	1	A
123.681	124.062	110	CRAB
124.062	124.599	85	CHALLENGED
124.599	125.047	258	ME
125.047	125.147	70	BUT
125.147	125.275	1	A
125.275	125.496	350	QUICK
125.496	126.056	402	STAB
126.056	126.593	464	VANQUISHED
126.593	126.853	207	HIM
126.853	136.077	99999	sp
136.077	136.611	183	GLUCOSE
136.611	136.756	20	AND
136.756	137.419	167	FRUCTOSE
137.419	137.601	30	ARE
137.601	138.058	276	NATURAL
138.058	138.627	414	SUGARS
138.627	138.925	163	FOUND
138.925	139.086	217	IN
139.086	139.485	168	FRUIT
139.485	148.672	99999	sp
148.672	148.784	30	ARE
148.784	148.904	495	YOU
148.904	149.265	250	LOOKING
149.265	149.502	161	FOR
149.502	150.201	136	EMPLOYMENT
150.201	157.59	99999	sp
157.59	157.913	98	COFFEE
157.913	158.171	224	IS
158.171	158.422	198	GROWN
158.422	158.572	297	ON
158.572	159.126	404	STEEP
159.126	159.47	231	JUNGLE
159.47	159.739	241	LIKE
159.739	160.208	390	SLOPES
160.208	160.392	217	IN
160.392	160.846	431	TEMPERATE
160.846	161.382	497	ZONES
161.382	171.161	99999	sp
171.161	171.255	476	WE
171.255	171.662	480	WELCOME
171.662	172.041	256	MANY
172.041	172.203	282	NEW
172.203	172.737	408	STUDENTS
172.737	173.059	132	EACH
173.059	173.437	491	YEAR
173.437	181.547	99999	sp
181.547	181.779	298	ONLY
181.779	182.005	434	THE
182.005	182.335	51	BEST
182.335	182.753	330	PLAYERS
182.753	183.185	139	ENJOY
183.185	184.084	336	POPULARITY
184.084	192.28	99999	sp
192.28	192.784	75	CALCIUM
192.784	193.148	254	MAKES
193.148	193.462	58	BONES
193.462	193.651	20	AND
193.651	193.921	430	TEETH
193.921	194.46	406	STRONG
194.46	201.994	99999	sp
201.994	202.386	286	NOTHING
202.386	202.573	224	IS
202.573	202.78	34	AS
202.78	203.49	295	OFFENSIVE
203.49	203.719	34	AS
203.719	204.467	219	INNOCENCE
204.467	213.028	99999	sp
213.028	213.487	405	STEVE
213.487	213.776	490	WORE
213.776	213.898	1	A
213.898	214.247	65	BRIGHT
214.247	214.573	356	RED
214.573	215.203	78	CASHMERE
215.203	215.772	420	SWEATER
215.772	224.376	99999	sp
224.376	224.783	46	BARB'S
224.783	225.086	188	GOLD
225.086	225.809	63	BRACELET
225.809	225.978	472	WAS
225.978	226.099	1	A
226.099	226.877	193	GRADUATION
226.877	227.385	339	PRESENT
227.385	236.167	99999	sp
236.167	236.475	130	DRAW
236.475	236.794	145	EVERY
236.794	237.143	308	OUTER
237.143	237.4	244	LINE
237.4	238.217	156	FIRST
238.217	238.47	436	THEN
238.47	238.57	154	FILL
238.57	238.679	217	IN
238.679	238.832	434	THE
238.832	239.617	222	INTERIOR
239.617	249.835	99999	sp
249.835	249.913	434	THE
249.913	250.273	475	WATER
250.273	250.762	103	CONTAINED
250.762	250.972	448	TOO
250.972	251.211	269	MUCH
251.211	251.779	90	CHLORINE
251.779	251.908	20	AND
251.908	252.205	409	STUNG
252.205	252.438	208	HIS
252.438	252.929	149	EYES
252.929	262.549	99999	sp
262.549	262.964	229	JOHN'S
262.964	263.337	66	BROTHER
263.337	263.965	363	REPAINTED
263.965	264.103	434	THE
264.103	264.638	173	GARAGE
264.638	264.98	129	DOOR
264.98	274.069	99999	sp
274.069	274.567	84	CHALLENGE
274.567	274.916	132	EACH
274.916	275.48	175	GENERAL'S
275.48	276.353	221	INTELLIGENCE
276.353	284.978	99999	sp
284.978	285.899	17	AMBIDEXTROUS
285.899	286.752	327	PICKPOCKETS
286.752	287.518	6	ACCOMPLISH
287.518	287.89	267	MORE
287.89	297.163	99999	sp
297.163	297.266	1	A
297.266	297.892	271	MUSCULAR
297.892	298.389	2	ABDOMEN
298.389	298.619	224	IS
298.619	298.771	189	GOOD
298.771	298.923	161	FOR
298.923	299.182	496	YOUR
299.182	299.611	43	BACK
299.611	307.854	99999	sp
307.854	307.987	438	THEY
307.987	308.154	317	OWN
308.154	308.36	1	A
308.36	308.63	52	BIG
308.63	308.967	209	HOUSE
308.967	309.1	217	IN
309.1	309.168	434	THE
309.168	309.612	361	REMOTE
309.612	310.411	109	COUNTRYSIDE
310.411	319.421	99999	sp
319.421	319.505	434	THE
319.505	319.921	369	ROSE
319.921	320.603	106	CORSAGE
320.603	320.982	393	SMELLED
320.982	321.44	421	SWEET
321.44	330.971	99999	sp
330.971	331.259	433	THAT
331.259	331.862	326	PICKPOCKET
331.862	332.099	472	WAS
332.099	332.357	80	CAUGHT
332.357	332.656	356	RED
332.656	333.267	199	HANDED
333.267	342.29	99999	sp
342.29	342.407	19	AN
342.407	342.866	9	ADULT
342.866	343.267	255	MALE
343.267	343.849	42	BABOON'S
343.849	344.22	430	TEETH
344.22	344.353	30	ARE
344.353	344.599	285	NOT
344.599	345.028	415	SUITABLE
345.028	345.207	161	FOR
345.207	345.46	135	EATING
345.46	346.214	376	SHELLFISH
346.214	356.468	99999	sp
356.468	356.651	204	HER
356.651	357.254	470	WARDROBE
357.254	357.719	102	CONSISTS
357.719	357.819	294	OF
357.819	358.148	298	ONLY
358.148	358.607	385	SKIRTS
358.607	358.85	20	AND
358.85	359.527	54	BLOUSES
359.527	368.808	99999	sp
368.808	368.942	434	THE
368.942	369.281	453	TWO
369.281	369.772	33	ARTISTS
369.772	370.642	147	EXCHANGED
370.642	371.478	39	AUTOGRAPHS
371.478	381.534	99999	sp
381.534	382.25	71	BUTTERSCOTCH
382.25	382.648	169	FUDGE
382.648	382.901	186	GOES
382.901	383.109	481	WELL
383.109	383.334	487	WITH
383.334	383.684	463	VANILLA
383.684	384.045	212	ICE
384.045	384.358	112	CREAM
384.358	393.734	99999	sp
393.734	394.12	366	RICH
394.12	394.755	349	PURCHASED
394.755	395.432	88888	SEVAL
395.432	396.082	374	SEVERAL
396.082	396.62	382	SIGNED
396.62	397.524	245	LITHOGRAPHS
397.524	408.22	99999	sp
408.22	408.496	24	ANY
408.496	409.351	105	CONTRIBUTIONS
409.351	409.44	485	WILL
409.44	409.606	47	BE
409.606	409.99	195	GREATLY
409.99	410.848	28	APPRECIATED
410.848	419.587	99999	sp
419.587	419.708	434	THE
419.708	420.413	111	CRANBERRY
420.413	420.755	57	BOG
420.755	420.982	178	GETS
420.982	421.363	465	VERY
421.363	421.594	340	PRETTY
421.594	421.752	217	IN
421.752	422.242	40	AUTUMN
422.242	431.232	99999	sp
431.232	431.473	210	HOW
431.473	431.68	128	DO
431.68	432.149	318	OYSTERS
432.149	432.48	253	MAKE
432.48	433.028	320	PEARLS
433.028	442.136	99999	sp
442.136	442.351	257	MAY
442.351	442.387	211	I
442.387	442.697	304	ORDER
442.697	442.783	1	A
442.783	443.31	319	PARFAIT
443.31	443.654	10	AFTER
443.654	443.724	211	I
443.724	443.951	134	EAT
443.951	444.392	124	DINNER
444.392	454.484	99999	sp
454.484	454.629	224	IS
454.629	454.854	375	SHE
454.854	455.2	187	GOING
455.2	455.367	487	WITH
455.367	455.7	495	YOU
455.7	463.646	99999	sp
463.646	463.829	76	CAN
463.829	463.98	434	THE
463.98	464.467	11	AGENCY
464.467	465.078	315	OVERTHROW
465.078	465.502	13	ALIEN
465.502	466.153	162	FORCES
466.153	475.095	99999	sp
475.095	475.202	1	A
475.202	475.95	371	SCREWDRIVER
475.95	476.13	224	IS
476.13	476.353	252	MADE
476.353	476.629	166	FROM
476.629	477.048	469	VODKA
477.048	477.286	20	AND
477.286	477.685	303	ORANGE
477.685	478.355	230	JUICE
478.355	487.961	99999	sp
487.961	488.131	210	HOW
488.131	488.349	269	MUCH
488.349	488.934	16	ALLOWANCE
488.934	488.99	128	DO
488.99	489.187	495	YOU
489.187	489.41	177	GET
489.41	497.332	99999	sp
497.332	498.014	115	CYCLICAL
498.014	498.559	346	PROGRAMS
498.559	498.696	485	WILL
498.696	499.084	281	NEVER
499.084	499.786	100	COMPILE
499.786	508.522	99999	sp
508.522	508.67	434	THE
508.67	509.149	61	BOSTON
509.149	509.659	45	BALLET
509.659	510.276	312	OVERCAME
510.276	510.393	435	THEIR
510.393	511.074	170	FUNDING
511.074	511.779	380	SHORTAGE
511.779	521.573	99999	sp
521.573	521.941	145	EVERY
521.941	522.294	74	CAB
522.294	522.604	280	NEEDS
522.604	523.342	364	REPAINTING
523.342	523.971	296	OFTEN
523.971	532.808	99999	sp
532.808	533.206	203	HELP
533.206	533.549	196	GREG
533.549	533.675	446	TO
533.675	533.899	325	PICK
533.899	534.035	1	A
534.035	534.468	88888	PACK
534.468	534.846	321	PECK
534.846	535.108	294	OF
535.108	535.327	99999	sp
535.327	536.263	338	POTATOES
536.263	549.347	99999	sp
549.347	549.511	476	WE
549.511	549.886	241	LIKE
549.886	550.139	55	BLUE
550.139	550.695	88	CHEESE
550.695	550.929	70	BUT
550.929	551.298	466	VICTOR
551.298	551.754	242	LIKES
551.754	552.116	64	BRIE
552.116	561.954	99999	sp
561.954	562.188	108	COUNT
562.188	562.274	434	THE
562.274	562.722	289	NUMBER
562.722	562.896	294	OF
562.896	563.471	429	TEASPOONS
563.471	563.58	294	OF
563.58	564.302	395	SOYSAUCE
564.302	564.455	433	THAT
564.455	564.632	495	YOU
564.632	564.969	7	ADD
564.969	574.994	99999	sp
574.994	575.644	44	BAGPIPES
575.644	575.874	20	AND
575.874	576.47	59	BONGOS
576.47	576.582	30	ARE
576.582	577.12	273	MUSICAL
577.12	577.888	220	INSTRUMENTS
577.888	586.8	99999	sp
586.8	587.114	210	HOW
587.114	587.287	189	GOOD
587.287	587.437	224	IS
587.437	587.577	496	YOUR
587.577	588.339	138	ENDURANCE
588.339	601.0	99999	sp
601.0	601.395	99999	sp
601.395	602.298	206	HIGHER
602.298	602.616	302	OR
602.616	602.914	251	LOWER
602.914	603.087	432	THAN
603.087	603.635	275	NANCY'S
603.635	611.263	99999	sp
611.263	611.467	375	SHE
611.467	611.707	490	WORE
611.707	612.242	471	WARM
612.242	612.694	158	FLEECY
612.694	613.233	489	WOOLEN
613.233	613.832	311	OVERALLS
613.832	622.343	99999	sp
622.343	622.66	354	READING
622.66	622.873	217	IN
622.873	623.181	335	POOR
623.181	623.492	240	LIGHT
623.492	623.756	181	GIVES
623.756	623.84	495	YOU
623.84	624.558	150	EYESTRAIN
624.558	632.88	99999	sp
632.88	633.235	142	EVEN
633.235	633.508	211	I
633.508	634.182	293	OCCASIONALLY
634.182	634.331	177	GET
634.331	634.405	434	THE
634.405	634.923	265	MONDAY
634.923	635.283	56	BLUES
635.283	644.275	99999	sp
644.275	644.374	476	WE
644.374	644.523	30	ARE
644.523	644.861	301	OPEN
644.861	645.29	145	EVERY
645.29	645.669	265	MONDAY
645.669	646.198	143	EVENING
646.198	652.401	99999	sp
652.401	652.575	226	IT'S
652.575	652.801	285	NOT
652.801	653.137	133	EASY
653.137	653.275	446	TO
653.275	653.768	113	CREATE
653.768	654.63	215	ILLUMINATING
654.63	655.313	146	EXAMPLES
655.313	663.43	99999	sp
663.43	663.752	270	MUM
663.752	664.276	407	STRONGLY
664.276	664.816	126	DISLIKES
664.816	665.756	27	APPETIZERS
665.756	674.129	99999	sp
674.129	674.417	443	THOSE
674.417	674.545	484	WHO
674.545	674.847	427	TEACH
674.847	675.38	462	VALUES
675.38	675.432	99999	sp
675.432	675.712	156	FIRST
675.712	676.2570000000001	4	ABOLISH
676.2570000000001	676.7	87	CHEATING
676.7	685.413	99999	sp
685.413	685.496	434	THE
