21.1698120	21.5408130	375 SHE
21.5408125	21.9608125	490	WORE
21.9608125	22.4398125	471	WARM
22.4398125	23.100812499999996	158	FLEECY
23.100812499999996	23.6598125	489	WOOLEN
23.6598125	24.5108125	311	OVERALLS
24.5108125	36.2158125	99999	sp
36.2158125	36.6758125	354	READING
36.6758125	36.985812499999994	217	IN
36.985812499999994	37.3358125	335	POOR
37.3358125	37.7458125	240	LIGHT
37.7458125	38.0858125	181	GIVES
38.0858125	38.2758125	495	YOU
38.2758125	39.07481249999999	150	EYESTRAIN
39.07481249999999	51.098	99999	sp
51.098	51.467999999999996	142	EVEN
51.467999999999996	51.928	211	I
51.928	52.678	293	OCCASIONALLY
52.678	52.948	177	GET
52.948	52.967999999999996	99999	sp
52.967999999999996	53.079	434	THE
53.079	53.509	265	MONDAY
53.509	54.227999999999994	56	BLUES
54.227999999999994	65.5060625	99999	sp
65.5060625	65.6760625	476	WE
65.6760625	65.8360625	30	ARE
65.8360625	66.23706250000001	301	OPEN
66.23706250000001	66.6670625	145	EVERY
66.6670625	67.0660625	265	MONDAY
67.0660625	67.7860625	143	EVENING
67.7860625	80.4133125	99999	sp
80.4133125	80.65331250000001	226	IT'S
80.65331250000001	80.9333125	285	NOT
80.9333125	81.3533125	133	EASY
81.3533125	81.50431250000001	446	TO
81.50431250000001	82.05431250000001	113	CREATE
82.05431250000001	82.79331250000001	215	ILLUMINATING
82.79331250000001	83.7433125	146	EXAMPLES
83.7433125	95.636375	99999	sp
95.636375	96.077375	270	MUM
96.077375	96.687375	407	STRONGLY
96.687375	97.357375	126	DISLIKES
97.357375	98.357375	27	APPETIZERS
98.357375	110.5800625	99999	sp
110.5800625	111.0000625	443	THOSE
111.0000625	111.12006249999999	484	WHO
111.12006249999999	111.5210625	427	TEACH
111.5210625	112.1700625	462	VALUES
112.1700625	112.20006249999999	99999	sp
112.20006249999999	112.73006249999999	156	FIRST
112.73006249999999	113.3810625	4	ABOLISH
113.3810625	114.0210625	87	CHEATING
114.0210625	127.643	99999	sp
127.643	127.77199999999999	434	THE
127.77199999999999	127.863	99999	sp
127.863	128.313	165	FRIGHTENED
128.313	128.34300000000002	99999	sp
128.34300000000002	128.832	89	CHILD
128.832	129.072	472	WAS
129.072	129.542	176	GENTLY
129.542	130.212	410	SUBDUED
130.212	130.462	73	BY
130.462	130.732	208	HIS
130.732	131.012	52	BIG
131.012	131.582	66	BROTHER
131.582	144.093125	99999	sp
144.093125	144.473125	142	EVEN
144.473125	144.573125	1	A
144.573125	145.06312499999999	383	SIMPLE
145.06312499999999	145.963125	468	VOCABULARY
145.963125	146.653125	104	CONTAINS
146.653125	147.443125	422	SYMBOLS
147.443125	160.212375	99999	sp
160.212375	160.35237500000002	1	A
160.35237500000002	160.88237500000002	110	CRAB
160.88237500000002	161.502375	85	CHALLENGED
161.502375	161.92237500000002	258	ME
161.92237500000002	162.002375	99999	sp
162.002375	162.16237500000003	70	BUT
162.16237500000003	162.252375	1	A
162.252375	162.552375	350	QUICK
162.552375	162.962375	402	STAB
162.962375	163.61237500000001	464	VANQUISHED
163.61237500000001	163.88237500000002	207	HIM
163.88237500000002	175.8643125	99999	sp
175.8643125	176.4943125	183	GLUCOSE
176.4943125	176.65331250000003	20	AND
176.65331250000003	176.72431250000002	99999	sp
176.72431250000002	177.32431250000002	167	FRUCTOSE
177.32431250000002	177.44431250000002	30	ARE
177.44431250000002	177.9643125	276	NATURAL
177.9643125	178.5243125	414	SUGARS
178.5243125	178.91431250000002	163	FOUND
178.91431250000002	179.07431250000002	217	IN
179.07431250000002	179.56431250000003	168	FRUIT
179.56431250000003	189.80275	99999	sp
189.80275	189.92275	30	ARE
189.92275	190.20275	495	YOU
190.20275	190.57275	250	LOOKING
190.57275	190.84275	161	FOR
190.84275	191.54275	136	EMPLOYMENT
191.54275	205.1359375	99999	sp
205.1359375	205.6059375	98	COFFEE
205.6059375	205.90593750000002	224	IS
205.90593750000002	206.34593750000002	198	GROWN
206.34593750000002	206.61593750000003	297	ON
206.61593750000003	207.24593750000003	404	STEEP
207.24593750000003	207.73593750000003	231	JUNGLE
207.73593750000003	208.00593750000002	241	LIKE
208.00593750000002	208.65593750000002	390	SLOPES
208.65593750000002	208.86593750000003	217	IN
208.86593750000003	209.3559375	431	TEMPERATE
209.3559375	210.11593750000003	497	ZONES
210.11593750000003	220.9653125	99999	sp
220.9653125	221.1453125	476	WE
221.1453125	221.7253125	480	WELCOME
221.7253125	222.0053125	256	MANY
222.0053125	222.2443125	282	NEW
222.2443125	222.80531249999999	408	STUDENTS
222.80531249999999	223.1353125	132	EACH
223.1353125	223.4353125	491	YEAR
223.4353125	235.362875	99999	sp
235.362875	235.70387499999998	298	ONLY
235.70387499999998	235.79387499999999	434	THE
235.79387499999999	236.183875	51	BEST
236.183875	236.743875	330	PLAYERS
236.743875	237.20387499999998	139	ENJOY
237.20387499999998	238.142875	336	POPULARITY
238.142875	249.94475	99999	sp
249.94475	250.63475	75	CALCIUM
250.63475	250.93375	254	MAKES
250.93375	251.52474999999998	58	BONES
251.52474999999998	251.74474999999998	20	AND
251.74474999999998	252.00475	430	TEETH
252.00475	252.69475	406	STRONG
252.69475	264.7545	99999	sp
264.7545	265.2145	286	NOTHING
265.2145	265.4845	224	IS
265.4845	265.6535	34	AS
265.6535	266.4035	295	OFFENSIVE
266.4035	266.8045	34	AS
266.8045	267.6535	219	INNOCENCE
267.6535	278.946625	99999	sp
278.946625	279.477625	405	STEVE
279.477625	279.516625	99999	sp
279.516625	279.907625	490	WORE
279.907625	279.956625	1	A
279.956625	280.43762499999997	65	BRIGHT
280.43762499999997	280.467625	99999	sp
280.467625	280.737625	356	RED
280.737625	281.386625	78	CASHMERE
281.386625	281.917625	420	SWEATER
281.917625	293.9475	99999	sp
293.9475	294.5175	46	BARB'S
294.5175	294.8675	188	GOLD
294.8675	295.4475	63	BRACELET
295.4475	295.6975	472	WAS
295.6975	295.7575	1	A
295.7575	296.5475	193	GRADUATION
296.5475	297.0965	339	PRESENT
297.0965	309.60075	99999	sp
309.60075	309.98075	130	DRAW
309.98075	310.50075	145	EVERY
310.50075	310.85075	308	OUTER
310.85075	311.24075	244	LINE
311.24075	311.29075	99999	sp
311.29075	311.86075	156	FIRST
311.86075	312.32975	436	THEN
312.32975	312.35075	99999	sp
312.35075	312.62075	154	FILL
312.62075	312.81075	217	IN
312.81075	312.97075	434	THE
312.97075	313.69975	222	INTERIOR
313.69975	325.8280625	99999	sp
325.8280625	325.9990625	434	THE
325.9990625	326.3880625	475	WATER
